Geschlecht,Groesse,Gewicht
1,1.875714232,109.7209851
1,1.747060363,73.62273185
1,1.882396677,96.49755015
1,1.821966851,99.80950419
1,1.774997615,93.59861876
1,1.708226598,69.04221615
1,1.747141064,83.42821885
1,1.736052294,76.19035195
1,1.702281321,79.80018673
1,1.611794947,70.94164201
1,1.80836271,84.64250139
1,1.81967645,96.95128455
1,1.64506476,75.80767932
1,1.75978998,85.93127231
1,1.758790799,84.56504714
1,1.71819874,78.10261398
1,1.839425242,88.91696224
1,1.624947873,78.41855902
1,1.768857521,84.36083528
1,1.725574523,82.74726813
1,1.725042275,78.9775925
1,1.763761773,89.68939099
1,1.680187952,67.66393615
1,1.91023173,103.7645136
1,1.724487187,73.48492123
1,1.730858433,87.24568902
1,1.754876638,83.65831963
1,1.849141425,93.8156121
1,1.712499554,79.47563349
1,1.73980895,70.00858628
1,1.742900008,85.051604
1,1.880458714,96.57437493
1,1.816816687,88.46506527
1,1.757176092,93.06964917
1,1.76726094,92.60721401
1,1.788183594,87.49949121
1,1.754534748,89.57908694
1,1.706715491,83.37518697
1,1.671505818,74.32187695
1,1.633326372,73.98449171
1,1.72654814,78.0793299
1,1.833611419,88.0174433
1,1.657866776,76.48366074
1,1.678690505,73.11605148
1,1.714762166,74.68858448
1,1.780661571,85.69364533
1,1.733596646,84.84916998
1,1.833186812,94.83287107
1,1.757168384,87.09616643
1,1.850907148,95.86326582
1,1.645477608,75.12010874
1,1.782662167,91.20461347
1,1.739682836,78.66372102
1,1.710203104,82.28507206
1,1.70156998,76.99166618
1,1.689088567,74.07589557
1,1.736167639,86.05103355
1,1.79767126,87.14629376
1,1.808884461,89.90123773
1,1.77833948,95.03954411
1,1.813640828,90.15585187
1,1.766620929,89.84728729
1,1.874990778,88.58225936
1,1.701720822,74.81696269
1,1.814029034,81.58482719
1,1.658094225,70.42034882
1,1.734164463,83.69651972
1,1.848240397,100.0977942
1,1.729724247,83.14915395
1,1.749976334,89.10874364
1,1.759953553,83.73109116
1,1.791289903,94.13523529
1,1.769458621,80.37692367
1,1.716919828,73.98448494
1,1.841706258,98.07485943
1,1.809825834,92.83009475
1,1.823953347,91.13596374
1,1.835027203,100.1992756
1,1.689420743,89.10808505
1,1.677137464,76.49412231
1,1.71645971,82.29642716
1,1.733462842,90.10998495
1,1.875183626,107.9171281
1,1.772982595,78.49012935
1,1.675373276,72.88493912
1,1.805407046,85.54877527
1,1.691543392,94.50394005
1,1.751368991,87.74062225
1,1.73340933,78.97476423
1,1.836847358,89.52481313
1,1.824111679,91.45352147
1,1.657021058,82.10558297
1,1.794269464,82.60930266
1,1.64419091,80.53492549
1,1.7044302,74.83115
1,1.653984116,75.16795635
1,1.821211344,87.58596783
1,1.697555106,81.95676566
1,1.688370392,78.36877853
1,1.763052766,80.49925176
1,1.779325308,91.0897727
1,1.695287558,76.08542018
1,1.68336796,70.03262023
1,1.735542579,80.73244902
1,1.77992756,83.433194
1,1.745817899,81.28585551
1,1.715923702,71.92517053
1,1.682842266,75.52466992
1,1.757227948,78.0104203
1,1.717271266,79.09019821
1,1.760035546,85.15978964
1,1.732043374,91.39332783
1,1.818819979,92.95325329
1,1.757600181,81.05033439
1,1.708453809,74.39563231
1,1.871603912,101.2734878
1,1.766245261,92.06026406
1,1.73511362,85.90659882
1,1.720569672,80.81673865
1,1.82132637,101.2867921
1,1.616259521,75.76288511
1,1.745518441,81.85915041
1,1.700513278,74.58828094
1,1.592757539,68.02501916
1,1.835363587,87.50255363
1,1.801079788,91.57296674
1,1.717290027,81.58669764
1,1.798359597,89.11618817
1,1.760341134,85.0719278
1,1.682569618,77.87864369
1,1.714301702,86.95340713
1,1.671478707,75.22852703
1,1.814670124,84.21513416
1,1.738995908,80.86719856
1,1.625293285,68.48288981
1,1.803448201,95.22226167
1,1.730748994,78.99658679
1,1.737243166,81.59166498
1,1.729643982,76.08876129
1,1.730770995,83.02759359
1,1.749046294,76.90961745
1,1.680180855,78.66721927
1,1.681633214,82.05005485
1,1.712775853,83.23818387
1,1.764566093,93.42993223
1,1.791102836,83.3519957
1,1.811994751,91.60494351
1,1.803449397,98.03034601
1,1.681539632,72.29817573
1,1.842599999,95.40691954
1,1.713975535,81.01985469
1,1.659900428,66.55999829
1,1.799439185,88.8754625
1,1.776437272,77.19040588
1,1.644391313,76.95372172
1,1.760433433,89.98298841
1,1.748496957,81.60470113
1,1.573208011,66.79763009
1,1.742270723,80.27864043
1,1.65655182,84.12670506
1,1.634074662,80.50976879
1,1.74622223,77.03238514
1,1.841237247,90.07506967
1,1.707741845,92.23808709
1,1.708495563,87.64199059
1,1.654010009,80.80058605
1,1.683075629,73.8355168
1,1.719622663,72.25108692
1,1.664479678,78.06967499
1,1.774671833,91.55166782
1,1.739439634,77.27045387
1,1.834234669,93.16315234
1,1.73176013,77.0143733
1,1.828322646,90.91676056
1,1.678054473,81.00652084
1,1.69306657,76.20981978
1,1.717025375,80.63342863
1,1.73344698,87.66918403
1,1.646138985,73.6540606
1,1.714302344,83.18143567
1,1.73179056,82.12559637
1,1.766655977,95.64976103
1,1.686617142,75.10054663
1,1.691440791,88.97136766
1,1.827171519,91.64664208
1,1.73449086,77.29824678
1,1.77686846,91.60203591
1,1.82501868,87.7187891
1,1.670189665,81.58110196
1,1.702609043,70.9825826
1,1.948429805,106.6101857
1,1.843306483,104.5804142
1,1.771111644,92.48543794
1,1.84910029,98.98121178
1,1.842499593,101.0000506
1,1.836286482,94.56253137
1,1.70823445,82.00026198
1,1.928989294,105.1992105
1,1.684432291,77.38000929
1,1.807363759,85.3984264
1,1.808281938,88.93194114
1,1.833816805,97.34246895
1,1.908576864,101.6609765
1,1.636052846,71.93034599
1,1.644254379,75.52357364
1,1.610730513,72.63850212
1,1.723356097,79.91049752
1,1.674667335,79.14513378
1,1.802550381,87.9544366
1,1.716550981,84.81789687
1,1.742167469,78.74166434
1,1.786248737,87.70045298
1,1.838819802,94.54513301
1,1.798849761,93.45491047
1,1.673943852,78.27874416
1,1.899802526,105.5215576
1,1.719095343,80.39471208
1,1.705761454,79.67193351
1,1.823080967,96.44549899
1,1.642496891,75.73589519
1,1.730318316,89.09200745
1,1.696387952,75.03828802
1,1.696868586,80.08884277
1,1.72430475,79.22076573
1,1.757008854,88.55818139
1,1.783713052,93.29681578
1,1.647337299,71.82241152
1,1.722655769,76.6937927
1,1.611382286,61.53242005
1,1.824950245,98.95448288
1,1.694893071,70.71478475
1,1.827994964,91.41156906
1,1.930942226,107.0141737
1,1.815492973,88.62852819
1,1.71119314,80.1207507
1,1.792103191,90.01998108
1,1.774624373,84.23970465
1,1.725868279,80.44353414
1,1.882255795,97.86687544
1,1.756863042,84.83187367
1,1.690553606,77.83089162
1,1.694220767,78.39875468
1,1.70805005,76.33059189
1,1.753905191,74.30766321
1,1.795087778,86.19310956
1,1.663674476,71.15495512
1,1.65575541,78.29291964
1,1.716230832,76.68607017
1,1.874910796,104.9496259
1,1.818806731,94.00715825
1,1.720208631,78.08712024
1,1.733070752,90.64027242
1,1.674607311,76.24446626
1,1.817331791,89.72939473
1,1.75677528,89.30877896
1,1.742380547,81.74715768
1,1.804860776,85.78967497
1,1.616559113,71.85927719
1,1.808034367,94.76565747
1,1.679668299,84.88571466
1,1.652457277,71.47813028
1,1.729520909,82.39246709
1,1.803225855,92.87145525
1,1.885217842,104.838805
1,1.760908802,84.48533361
1,1.649256092,82.14273052
1,1.736009795,90.22896501
1,1.801599777,92.24721515
1,1.561536354,73.04135374
1,1.739666643,86.09479243
1,1.830067203,90.81040139
1,1.842050342,100.6351233
1,1.809341349,97.09597075
1,1.835381526,91.49015123
1,1.716152014,84.90656817
1,1.835597218,89.14328676
1,1.590046299,68.81929745
1,1.682405507,75.88482134
1,1.76912111,90.19390974
1,1.759862404,81.09750865
1,1.79642208,87.78785645
1,1.74824682,89.69233181
1,1.676766477,83.67040201
1,1.686938004,70.39510688
1,1.69203686,73.02467867
1,1.728084473,85.76719917
1,1.79076091,78.46496463
1,1.756606329,88.85652135
1,1.798193574,97.86086615
1,1.655937179,75.61713076
1,1.899557144,108.6191102
1,1.805099419,83.58759168
1,1.761088624,90.71109304
1,1.77543978,86.82305674
1,1.636399922,76.70667161
1,1.72344412,88.33455745
1,1.715746365,83.12823329
1,1.89909315,95.42210763
1,1.814041228,89.83048635
1,1.704856747,78.31905008
1,1.774433533,89.38976379
1,1.73814266,86.41191139
1,1.725510458,83.71289069
1,1.739781716,81.61472539
1,1.657201243,72.34938446
1,1.782707942,89.75882933
1,1.806044982,98.55175476
1,1.738568495,85.23330517
1,1.661682651,80.22304508
1,1.719600018,83.98174329
1,1.885265802,101.2907406
1,1.807648045,93.86768099
1,1.707661606,77.57191612
1,1.724166204,79.47968205
1,1.711359937,78.61220894
1,1.746535672,82.15729257
1,1.821313922,91.90182531
1,1.762277268,90.65077853
1,1.872399802,101.3844899
1,1.764115756,99.45535605
1,1.797971761,95.80592458
1,1.822918979,91.08081228
1,1.761323731,94.71444361
1,1.658265048,73.21885768
1,1.801414848,94.27272177
1,1.742355232,82.0236028
1,1.742536429,80.20208548
1,1.764760101,88.27071256
1,1.674644764,73.93932053
1,1.740492971,78.59418392
1,1.877799753,97.80352311
1,1.808427621,95.3153413
1,1.690537307,83.93371787
1,1.822253816,85.25958147
1,1.771518665,85.35745278
1,1.695466615,81.43882264
1,1.770187525,96.03378563
1,1.788249328,89.67157411
1,1.753101297,84.49874286
1,1.644200094,75.34438561
1,1.803351091,85.64350837
1,1.637279282,73.2001205
1,1.771637874,87.7592832
1,1.81678196,85.85691257
1,1.735529063,94.24957954
1,1.797423892,90.41136097
1,1.814043861,95.19002633
1,1.762518042,81.72615304
1,1.828843998,89.00128869
1,1.757463464,85.92794247
1,1.680625627,75.07610181
1,1.708712432,82.73261106
1,1.801262219,85.98182789
1,1.75564515,86.01279762
1,1.712189257,77.19742368
1,1.852641686,98.02007668
1,1.790469589,80.3165259
1,1.75280979,88.92725081
1,1.695757592,76.06760349
1,1.755664859,81.46869299
1,1.857407187,100.0902481
1,1.714165327,74.52300707
1,1.64985899,71.00746273
1,1.721675223,83.31624532
1,1.718624929,77.2492094
1,1.688500484,76.48797789
1,1.853871583,95.09010812
1,1.7669061,88.60739507
1,1.803490428,88.1431774
1,1.775857189,99.50353209
1,1.821107401,93.05972773
1,1.718308498,81.13973157
1,1.734707086,82.42897511
1,1.744656294,92.33333895
1,1.7504606,74.9133944
1,1.751606344,89.78011299
1,1.708079774,78.6002511
1,1.750462936,83.43724546
1,1.67229903,63.29152742
1,1.642645319,72.66023631
1,1.683915802,74.20946656
1,1.704278678,87.9764851
1,1.701756559,86.13410101
1,1.802434061,83.56250178
1,1.737890154,86.54333156
1,1.718374201,85.36632256
1,1.920752906,102.6060393
1,1.791950747,89.75650061
1,1.749827308,86.41539355
1,1.734427111,79.94404027
1,1.650874988,80.61558825
1,1.665624597,78.78511669
1,1.760374641,95.46464496
1,1.668899772,77.15625472
1,1.722221372,78.68001924
1,1.758090142,83.88580324
1,1.727581153,88.12700439
1,1.572944503,67.65310384
1,1.708565613,87.30320131
